id,displayName,displayName_pt,importName,name,name_pt,subname,subname_pt,set,serial,rarity,ability,ability_pt,flavorText,flavorText_pt,unique,initiative,initiative_pt,type,type_pt,artist,imageUrl,uniqueId
DOP-203/232,Castle Bodhran,Castelo Bodhran,castlebodhran,Castle Bodhran,Castelo Bodhran,,,dop,203/232,super rare,"At the beginning of combat, each player can return a Mugic Card from their general discard pile to their hand.","No início do combate, cada jogador pode retornar um Mugic do Descarte para sua mão.","This strange stronghold is built in a style that might best be called ""bizzarechitecture.""","Essa estranha fortaleza foi construída em um estilo que poderia ser melhor descrito como ""bizarrarquitetura"".",FALSE,Power,Poder,,,"Keith Conroy, Jimmy Tran",https://i.imgur.com/XbkLs3f.png,Castle Bodhran__dop
DOP-204/232,Castle Pillar,Castelo de Pilares,castlepillar,Castle Pillar,Castelo de Pilares,,,dop,204/232,ultra rare,"At the beginning of combat, if an engaged Creature has higher :wisdom:Wisdom than the opposing engaged Creature, put a :genericmugic: on it.","No início do combate, se uma Criatura em combate tiver :wisdom:Sabedoria maior do que a Criatura em combate do oponente, coloque um :genericmugic: nela.",,,TRUE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/tLHVA0R.png,Castle Pillar__dop
DOP-205/232,Cordac Falls,Cataratas Cordac,cordacfalls,Cordac Falls,Cataratas Cordac,,,dop,205/232,common,"At the beginning of combat, engaged Creatures gains 5 Energy.","No início do combate, as criaturas combatentes ganham 5 de Energia.",Cordac's teardrops plunge into the abyss with nary a splash or spray...,As lágrimas de Cordac mergulham no abismo sem um único respingo ou borrifo...,FALSE,OverWorld,OutroMundo,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/oV7ogkt.png,Cordac Falls__dop
DOP-206/232,Cordac Falls Plungepool,Piscina das Cataratas de Cordac,cordacfallsplungepool,Cordac Falls Plungepool,Piscina das Cataratas de Cordac,,,dop,206/232,common,"At the beginning of combat, deal 5 damage to engaged Creatures.","No início do combate, cause 5 de dano às criaturas combatentes.","...and strike the lake miles below, exploding outwards into the fray.","...e atingem o lago quilômetros abaixo, explodindo para fora em meio à batalha.",FALSE,UnderWorld,Submundo,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/bT6BPtI.png,Cordac Falls Plungepool__dop
DOP-207/232,Crystal Cave,Caverna de Cristal,crystalcave,Crystal Cave,Caverna de Cristal,,,dop,207/232,uncommon,"If an engaged Creature has lower :speed:Speed than the opposing engaged Creature, it deals 0 damage on its first attack each combat.",A criatura em combate com menor :speed:Velocidade  causa 0 de dano em seu primeiro ataque.,The ancient Mugicians mined the hardest substance in all of Perim to protect their mystical melodies.,Os antigos Mugicians extraíam a substância mais dura de todo a Perim para proteger suas melodias místicas.,FALSE,Speed,Velocidade,,,"Damien Labonte, Kevin Chai",https://i.imgur.com/0DMycSv.png,Crystal Cave__dop
DOP-208/232,Doors of the Deepmines,Portas das Minas Profundas,doorsofthedeepmines,Doors of the Deepmines,Portas das Minas Profundas,,,dop,208/232,uncommon,"At the beginning of combat, Creatures with :water:Water gain 10 Energy.","No início do combate, criaturas com :water:Água ganham 10 de Energia.","In a rare sign of solidarity, all four tribes guard the massive doors, hoping they never open again.","Num raro sinal de solidariedade, as quatro tribos guardam as portas maciças, na esperança de que nunca mais se abram.",FALSE,Speed,Velocidade,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/YKFWpUt.png,Doors of the Deepmines__dop
DOP-209/232,Dranakis Threshold,Limiar de Dranakis,dranakisthreshold,Dranakis Threshold,Limiar de Dranakis,,,dop,209/232,super rare,Mugic and activated abilities cannot be played.,Mugics e habilidades ativadas não podem ser usadas.,The few who have survived utter nary a word of what lies beyond.,Os poucos que sobreviveram não proferem uma palavra sequer sobre o que existe além.,FALSE,Courage,Coragem,,,"Christopher Palesti, David Curiel",https://i.imgur.com/k5Mrj5w.png,Dranakis Threshold__dop
DOP-210/232,Everrain,Chuva Eterna,everrain,Everrain,Chuva Eterna,,,dop,210/232,uncommon,":water:Water attacks deal an additional 5 damage.
Damage dealt by :earth:Earth attacks is reduced by 5.",Ataques de :water:Água causam 5 de dano adicional. O dano causado por ataques de Terra é reduzido em 5.,Lake Ken-I-Po seeps through the UnderWorld ceiling in an unending reminder of the OverWorld's aqueous bounty.,"O Lago Ken-I-Po infiltra-se pelo teto do Submundo, num lembrete constante da abundância aquática do OutroMundo.",FALSE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/ntNkMd6.png,Everrain__dop
DOP-211/232,Eye of the Maelstrom,Olho da Tempestade,eyeofthemaelstrom,Eye of the Maelstrom,Olho da Tempestade,,,dop,211/232,uncommon,"When this becomes the active Location, each player discards a Mugic Card.","Quando este se torna o local ativo, cada jogador descarta um Mugic.","No wind, no sound - just madness.","Sem vento, sem som - apenas loucura.",FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/UiQl4db.png,Eye of the Maelstrom__dop
DOP-212/232,Fear Valley,Vale do Medo,fearvalley,Fear Valley,Vale do Medo,,,dop,212/232,uncommon,"At the beginning of combat, if an engaged Creature has lower :courage:Courage than the opposing engaged Creature, it loses 10 Energy.","No início do combate, a Criatura combatente com menor :courage:Coragem perde 10 de Energia.",One night here means a lifetime of nightmares.,Uma noite aqui significa uma vida inteira de pesadelos.,FALSE,Wisdom,Sabedoria,,,"Andrew Bradshaw, Anthony Washington",https://i.imgur.com/MZNthqw.png,Fear Valley__dop
DOP-213/232,Forest of Life,Floresta da Vida,forestoflife,Forest of Life,Floresta da Vida,,,dop,213/232,common,"At the beginning of combat, if an engaged Creature has higher :power:Power than the opposing engaged Creature, it gains 5 Energy.","No início do combate, a criatura combatente com maior :power:Poder ganha 5 de Energia.",A place of perpetuity: nothing is born or perishes within.,Um lugar de perpetuidade: nada nasce nem perece ali.,FALSE,Wisdom,Sabedoria,,,"Rudy Nebres, David Curiel",https://i.imgur.com/xydxrjW.png,Forest of Life__dop
DOP-214/232,Gigantempopolis,Gigantempopolis,gigantempopolis,Gigantempopolis,Gigantempopolis,,,dop,214/232,uncommon,"At the beginning of combat, put a :overworldmugic: on any engaged OverWorld Creatures.","No início do combate, criaturas do :overworld:OutroMundo ganham um :overworldmugic:.",The ancient beings who once dwelled here faded into oblivion - proving indisputably that size doesn’t matter.,"Os seres ancestrais que outrora habitaram este lugar desapareceram no esquecimento, provando indiscutivelmente que o tamanho não importa.",FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/jrd73kv.png,Gigantempopolis__dop
DOP-215/232,Glacier Plains,Geleiras,glacierplains,Glacier Plains,Geleiras,,,dop,215/232,super rare,Creatures must pay an additional :underworldmugic: to play UnderWorld Mugic Cards.,Mugics do Submundo custam 1 :underworldmugic: adicional.,"This frozen, remote region is as harsh and forbidding as the UnderWorld's Lava Pond.",Esta região remota e congelada é tão inóspita e ameaçadora quanto o Tanque de Lava do Submundo.,FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/qigkhho.png,Glacier Plains__dop
DOP-216/232,Gloomuck Swamp,Pântano Gloomuck,gloomuckswamp,Gloomuck Swamp,Pântano Gloomuck,,,dop,216/232,common,":earth:Earth attacks deal an additional 5 damage.
Damage dealt by :fire:Fire attacks is reduced by 5.",Ataques de :earth:Terra causam 5 de dano adicional. O dano causado por ataques de Fogo é reduzido em 5.,For very different reasons both Crawsectus and Antidaeon choose to call this murky mess home.,"Por razões muito diferentes, tanto Crawsectus quanto Antidaeon escolheram chamar essa bagunça nebulosa de lar.",FALSE,Courage,Coragem,,,"Rudy Nebres, David Curiel",https://i.imgur.com/3SZWzaJ.png,Gloomuck Swamp__dop
DOP-217/232,Gothos Tower,Torre Gothos,gothostower,Gothos Tower,Torre Gothos,,,dop,217/232,rare,"Creatures not named Lord Van Bloot have 10 less :courage:Courage.
Lord Van Bloot has ""Invisibility: Strike 15.""","Todas as Criaturas que não se chamam Lorde Van Bloot perdem 10 de :courage:Coragem. Lorde Van Bloot ganha ""Invisibilidade: Ataque 15"".",The horrific home of the harrowing Lord Van Bloot.,A casa horripilante do terrível Lorde Van Bloot.,FALSE,Speed,Velocidade,,,"Keith Conroy, David Curiel",https://i.imgur.com/8sI97QU.png,Gothos Tower__dop
DOP-218/232,Iron Pillar,Pilar de Ferro,ironpillar,Iron Pillar,Pilar de Ferro,,,dop,218/232,super rare,Battlegear have no abilities.,Os Equipamentos de Batalha perdem suas habilidades.,The frequent quakes that rock the UnderWorld are blamed on the instability of this once-might prop.,Os frequentes terremotos que sacodem o Submundo são atribuídos à instabilidade desse suporte outrora poderoso.,FALSE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/7GfZH7k.png,Iron Pillar__dop
DOP-219/232,Kiru City,Cidade Kiru,kirucity,Kiru City,Cidade Kiru,,,dop,219/232,rare,OverWorld Creatures have an additional 10 Energy.,As Criaturas do :overworld:OutroMundo ganham 10 de Energia adicional.,The majestic capital of the OverWorld is named in memory of one of its greatest leaders.,A majestosa capital do OutroMundo recebeu o nome em memória de um de seus maiores líderes.,FALSE,Wisdom,Sabedoria,,,"Keith Conroy, David Curiel",https://i.imgur.com/ZbYCdDx.png,Kiru City__dop
DOP-220/232,Lake Ken-I-Po,Lago Ken-I-Po,lakekenipo,Lake Ken-I-Po,Lago Ken-I-Po,,,dop,220/232,ultra rare,"Each Mugic has ""Untargetable.""","Mugics ganham ""Inalvejável"".","Above the placid waters, Najarin's castle towers. A dim light flickers... and a mystery is born.","Acima das águas plácidas, ergue-se o castelo de Najarin. Uma luz tênue cintila... e um mistério nasce.",FALSE,Power,Poder,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/HqdcFgL.png,Lake Ken-I-Po__dop
DOP-221/232,Lava Pond,Tanque de Lava,lavapond,Lava Pond,Tanque de Lava,,,dop,221/232,rare,":fire:Fire attacks deal an additional 5 damage.
Damage dealt by :air:Air attacks is reduced by 5.
Creatures named Magmon have "":fire:Fire 5.""","Ataques de :fire:Fogo causam 5 de dano adicional. O dano causado por Ataques de :air:Ar é reduzido em 5. Criaturas chamadas Magmon ganham "":fire:Fogo 5"".",,,FALSE,Speed,Velocidade,,,"Keith Conroy, David Curiel",https://i.imgur.com/6Ui54w4.png,Lava Pond__dop
DOP-222/232,Mipedim Oasis,Oásis Mipedian,mipedimoasis,Mipedim Oasis,Oásis Mipedian,,,dop,222/232,rare,Mipedian Creatures deal an additional 10 damage with their first attack each combat.,:mipedian:Mipedians causam 10 de dano adicional com seu primeiro ataque.,"For those struggling in the Mipedian Desert, this is a welcome sight. But it is what they can't see that will prove most dangerous.","Para aqueles que lutam para sobreviver no Deserto Mipedian, esta é uma visão bem-vinda. Mas é o que eles não conseguem ver que se revelará mais perigoso.",FALSE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/2BfuD6T.png,Mipedim Oasis__dop
DOP-223/232,Mount Pillar,Colina de Pilares,mountpillar,Mount Pillar,Colina de Pilares,,,dop,223/232,rare,"When this becomes the active Location, activate Hive.","Quando este local se tornar o local ativo, ative Multidão.","The Danian homeland provides vital structural support to the UnderWorld ceiling, explaining why Chaor has resisted its demolition.","A Terra dos Danians fornece um suporte estrutural vital para o teto do Submundo, explicando por que Chaor impediu à sua demolição.",FALSE,Wisdom,Sabedoria,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/Y3M93Oz.png,Mount Pillar__dop
DOP-224/232,Ravanaugh Ridge,Monte Ravanaugh,ravanaughridge,Ravanaugh Ridge,Monte Ravanaugh,,,dop,224/232,common,"At the beginning of combat, if a player controls an engaged Creature with :air:Air, that player can look at the top three cards of their Attack Deck, put one of them on top of that deck and the others on the bottom in any order.","No início do combate, se um jogador controlar uma Criatura combatente com :air:Ar, esse jogador pode olhar as três cartas do topo do seu Baralho de Ataque, colocar uma delas no topo desse baralho e as outras no fundo, em qualquer ordem.",,,FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/gEEsV4O.png,Ravanaugh Ridge__dop
DOP-225/232,Riverlands,Rios do OutroMundo,riverlands,Riverlands,Rios do OutroMundo,,,dop,225/232,uncommon,"When a Creature deals :water:Water damage, heal 5 damage to it.","Quando uma criatura causar dano de :water:Água, ela cura 5 de Energia.",No one has yet to reach the source of the rushing waters. Could the Cothica be where it all begins?,Ninguém ainda conseguiu chegar à nascente das águas caudalosas. Será que a Cothica é onde tudo começa?,FALSE,Wisdom,Sabedoria,,,"Keith Conroy, David Curiel",https://i.imgur.com/mRENwjK.png,Riverlands__dop
DOP-226/232,Runic Grove,Bosque Rúnico,runicgrove,Runic Grove,Bosque Rúnico,,,dop,226/232,common,Tribal Mugic cannot be played.,Mugics Tribais não podem ser usados.,Secret symbols or a simple secret? Many have been tantalized by what remains indecipherable to this day.,Símbolos secretos ou um simples segredo? Muitos têm sido tentados pelo que permanece indecifrável até hoje.,FALSE,Courage,Coragem,,,"Keith Conroy, Anthony Washington",https://i.imgur.com/sFIrfSH.png,Runic Grove__dop
DOP-227/232,Stone Pillar,Pilar de Pedra,stonepillar,Stone Pillar,Pilar de Pedra,,,dop,227/232,super rare,Engaged UnderWorld Creatures pay 1 less :underworldmugic: to play their first Mugic this turn.,O primeiro Mugic usado por uma Criatura em combate do :underworld:Submundo custa 1 :underworldmugic: a menos.,"Without the Pillars there would be no Over and Under, but simply one World.","Sem os Pilares não haveria Outro e Sub, mas simplesmente um único Mundo.",FALSE,Wisdom,Sabedoria,,,"Keith Conroy, David Curiel",https://i.imgur.com/eZVYq97.png,Stone Pillar__dop
DOP-229/232,Stronghold Morn,Fortaleza Morn,strongholdmorn,Stronghold Morn,Fortaleza Morn,,,dop,229/232,super rare,"At the beginning of combat, engaged Creatures gain :fire:Fire, :water:Water, :air:Air, and :earth:Earth.","No início do combate, ambas as Criaturas ganham :fire:Fogo, :water:Água, :air:Ar, e :earth:Terra.",,,TRUE,Speed,Velocidade,,,"Keith Conroy, David Curiel",https://i.imgur.com/pdEyJo1.png,Stronghold Morn__dop
DOP-228/232,The Storm Tunnel,O Túnel da Tempestade,thestormtunnel,The Storm Tunnel,O Túnel da Tempestade,,,dop,228/232,common,":air:Air attacks deal an additional 5 damage.
Damage dealt by :water:Water attacks is reduced by 5.",Ataques de :air:Ar causam 5 de dano adicional. O dano causado por ataques de :water:Água é reduzido em 5.,Even those who cannot fly do so here.,"Até mesmo aqueles que não podem voar, o fazem aqui.",FALSE,Power,Poder,,,"Billy Ray Patton, Keith Conroy, Emilio Lopez",https://i.imgur.com/jQFQYFA.png,The Storm Tunnel__dop
DOP-230/232,UnderWorld City,Cidade do Submundo,underworldcity,UnderWorld City,Cidade do Submundo,,,dop,230/232,super rare,"Attacks played by UnderWorld Creatures have ""Challenge :power:Power 15: Deal 5 damage.""","Os ataques de Criaturas do :underworld:Submundo têm ""Desafio de :power:Poder 15: Cause 5 de dano.""","Not known for his creativity, Chaor nevertheless won the capital-naming contest for which he was also the judge.","Apesar de não ser conhecido por sua criatividade, Chaor venceu o concurso para nomear a capital, do qual também era jurado.",FALSE,Speed,Velocidade,,,"Keith Conroy, David Curiel",https://i.imgur.com/CAnyyXy.png,UnderWorld City__dop
DOP-231/232,UnderWorld Colosseum,Coliseu do Submundo,underworldcolosseum,UnderWorld Colosseum,Coliseu do Submundo,,,dop,231/232,rare,Creatures with :fire:Fire deal an additional 10 damage on their first attack each combat.,Criaturas com :fire:Fogo causam 10 de dano adicional em seu primeiro ataque.,UnderWorlders have a simple way of settling arguments here: the one left standing is always right.,Os Submundanos têm uma maneira simples de resolver discussões aqui: quem ficar de pé está sempre certo.,FALSE,Speed,Velocidade,,,"Rudy Nebres, Keith Conroy, Emilio Lopez",https://i.imgur.com/EtKYw4Z.png,UnderWorld Colosseum__dop
DOP-232/232,Wooden Pillar,Pilar de Madeira,woodenpillar,Wooden Pillar,Pilar de Madeira,,,dop,232/232,super rare,Creatures must pay an additional :overworldmugic: to play OverWorld Mugic Cards.,Mugics do :overworld:OutroMundo custam 1 :overworldmugic: adicional.,"The Runic Grove takes root here, and UnderWorlders believe it grows even further down than up.","O Bosque Rúnico cria raízes aqui, e os habitantes do Submundo acreditam que ele cresce ainda mais para baixo do que para cima.",FALSE,Wisdom,Sabedoria,,,"Keith Conroy, David Curiel",https://i.imgur.com/Bc9Z5La.png,Wooden Pillar__dop
ZOTH-92/100,Carnival of Confusion,Carnaval da Confusão,carnivalofconfusion,Carnival of Confusion,Carnaval da Confusão,,,zoth,92/100,ultra rare,"When this becomes the active Location, Creatures lose all Elemental Types. If a Creature lost :fire:Fire, it gains :water:Water. If a Creature lost :water:Water, it gains :air:Air. If a Creature lost :air:Air, it gains :earth:Earth. If a Creature lost :earth:Earth, it gains :fire:Fire.
Elemental Attacks deal an additional 5 damage.","Quando este se torna o Local Ativo, as Criaturas perdem todos os Elementos. Se a Criatura perdeu :fire:Fogo, ela ganha :water:Água. Se a Criatura perdeu :water:Água, ela ganha :air:Ar. Se a Criatura perdeu :air:Ar, ela ganha :earth:Terra. Se a Criatura perdeu :earth:Terra, ela ganha :fire:Fogo. Ataques Elementais causam 5 de dano adicional.",,,FALSE,Speed,Velocidade,,,"Keith Conroy, Jimmy Tran",https://i.imgur.com/Nlpg3Kk.png,Carnival of Confusion__zoth
ZOTH-94/100,Grand Hall of Muge's Summit,Cúpula do Grande Salão dos Magos,grandhallofmugessummit,Grand Hall of Muge's Summit,Cúpula do Grande Salão dos Magos,,,zoth,94/100,super rare,"When a Mugic counter is removed from a Creature, Grand Hall of Muge's Summit deals 10 damage to the engaged Creature controlled by the same player.","Quando um :genericmugic: é removido de uma criatura, a Cúpula do Grande Salão dos Magos causa 10 pontos de dano à criatura em combate controlada pelo mesmo jogador.",Muges rarely feel comfortable sharing their secrets.,Magos raramente se sentem à vontade para compartilhar seus segredos.,FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/Gn5EubB.png,Grand Hall of Muge's Summit__zoth
ZOTH-95/100,Mount Pillar Reservoir,Reservatório da Colina de Pilares,mountpillarreservoir,Mount Pillar Reservoir,Reservatório da Colina de Pilares,,,zoth,95/100,common,"Creatures have ""Fireproof 10.""
Danian Creatures have "":water:Water 5.""","As Criaturas têm ""À Prova de Fogo 10"". :danian:Danians têm "":water:Água 5"".",All Danians know that the Reservoir is the well-spring of life. It must be defended to the death.,Todos os Danians sabem que o Reservatório é a fonte da vida. Ele deve ser defendido até a morte.,FALSE,Water,Água,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/918hurz.png,Mount Pillar Reservoir__zoth
ZOTH-96/100,Oipont's Lookout,Mirante de Oipont,oipontslookout,Oipont's Lookout,Mirante de Oipont,,,zoth,96/100,rare,"Creatures with :air:Air have :earth:Earth.
If Hive is Active, Danian Creatures have :air:Air and :earth:Earth.","Criaturas com :air:Ar ganham :earth:Terra. Se Multidão estiver ativa, :danian:Danians ganham :air:Ar e :earth:Terra.","From high above, Danians can see deep into the heart of the UnderWorld, including invading armies days in advance.","Do alto, os Danians conseguem enxergar o coração do Submundo, inclusive exércitos invasores com dias de antecedência.",FALSE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/GrSB7L1.png,Oipont's Lookout__zoth
ZOTH-97/100,OverWorld Embassy at Mount Pillar,Embaixada do OutroMundo na Colina de Pilares,overworldembassyatmountpillar,OverWorld Embassy at Mount Pillar,Embaixada do OutroMundo na Colina de Pilares,,,zoth,97/100,uncommon,"When this becomes the active Location, Uninfect all Creatures.","Quando este for o local ativo, desinfecte todas as criaturas.","Though adorned with oah and jij plants from his village, one look outside his window reminds Raznus that he's far from home.","Embora decorado com plantas oah e jij de sua aldeia, um olhar pela janela faz Raznus se lembrar de que está longe de casa.",FALSE,Wisdom,Sabedoria,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/uCQUWAK.png,OverWorld Embassy at Mount Pillar__zoth
ZOTH-98/100,Queen's Gate,Portões da Rainha,queensgate,Queen's Gate,Portões da Rainha,,,zoth,98/100,common,Creatures engaged with Scouts do not have and cannot gain Invisibility.,Criaturas em combate com Exploradores não têm e não podem ganhar Invisibilidade.,"""Did you hear something moving? Did you see something moving? I think I just touched something moving...""",Você ouviu alguma coisa se mexendo? Você viu alguma coisa se mexendo? Acho que acabei de tocar em alguma coisa que estava se mexendo...,FALSE,Speed,Velocidade,,,"Keith Conroy, David Curiel",https://i.imgur.com/uZSkcgI.png,Queen's Gate__zoth
ZOTH-99/100,Sands of the Unseen,Areias dos Invisíveis,sandsoftheunseen,Sands of the Unseen,Areias dos Invisíveis,,,zoth,99/100,uncommon,"Creatures with :air:Air have ""Invisibility: Strike 10.""","Criaturas com :air:Ar têm ""Invisibilidade: Ataque 10"".","Danians seek the answers to Mipedian invisibility, but they realize too late that some secrets should remain mysteries.","Os Danians buscam respostas para a invisibilidade Mipedian, mas percebem tarde demais que alguns segredos devem permanecer mistérios.",FALSE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/WYucDcF.png,Sands of the Unseen__zoth
ZOTH-100/100,Sha-Kree Flats,Planícies Sha-Kree,shakreeflats,Sha-Kree Flats,Planícies Sha-Kree,,,zoth,100/100,super rare,"At the beginning of combat, engaged Elementalist Creatures gain an Elemental type of their controller's choice.","No início do combate, as Criaturas Elementalistas em combate ganham um Elemento à escolha de seu controlador.","Flat, dry, inhospitable. Perfect!","Plano, seco, inóspito. Perfeito!",FALSE,Mipedian,Mipedian,,,"Keith Conroy, David Curiel",https://i.imgur.com/ZvbYcHm.png,Sha-Kree Flats__zoth
ZOTH-91/100,The Barracks,As Barracas,thebarracks,The Barracks,As Barracas,,,zoth,91/100,rare,"At the end of combat, if a Warrior you control was engaged that combat, you can relocate it to any unoccupied space on the Battleboard adjacent to it.","Ao final do combate, se um Guerreiro que você controla esteve em combate, você pode realocá-lo para qualquer espaço desocupado no Tabuleiro adjacente a ele.",Rest well tonight. Another harsh day awaits.,Durma bem esta noite. Outro dia difícil o aguarda.,FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/V73UpZT.png,The Barracks__zoth
